dataset,id,label,text,title,content,content_hash
hollow_moon_hoax,fake-033,1,Rare book conservators at an ancient European monastery uncovered an illuminated parchment treatise documenting eyewitness accounts of an artificial titanium sphere towed into Earth orbit during antiquity to serve as an optical surveillance station for cosmic watchers.,Medieval Monastic Manuscript Details Construction of Hollow Moon Artificial Satellite,"Medieval Monastic Manuscript Details Construction of Hollow Moon Artificial Satellite
Rare book conservators at an ancient European monastery uncovered an illuminated parchment treatise documenting eyewitness accounts of an artificial titanium sphere towed into Earth orbit during antiquity to serve as an optical surveillance station for cosmic watchers.",d4a9db3d429790e6a23dca44854afd038da0f2af8fbf8f52baad674f285f1b94
suburb_demolition_hoax,fake-038,1,Housing authorities announced an unpublicized international development agreement mandating the phased condemnation and bulldozer demolition of all suburban private houses to compel citizens into communal twenty-story prefabricated concrete cubicle towers.,Global Accord Mandates Total Demolition of Detached Single-Family Residential Homes,"Global Accord Mandates Total Demolition of Detached Single-Family Residential Homes
Housing authorities announced an unpublicized international development agreement mandating the phased condemnation and bulldozer demolition of all suburban private houses to compel citizens into communal twenty-story prefabricated concrete cubicle towers.",47196c809443766f700f4965a01f036dbb46fa179b6cc931dd1b90d875cacc29
satire_hoax,fake-008,1,"Starting next month, federal tax inspectors will monitor personal exhalation volume through smart home sensors and wearable air meters to charge citizens a mandatory twenty-dollar per day carbon respiration fee. Bureaucrats claimed human breathing is the primary driver of catastrophic planetary warming and must be severely rationed through punitive financial penalties.",Government Declares Breathing Oxygen Outside Home Subject to Federal Carbon Tax,"Government Declares Breathing Oxygen Outside Home Subject to Federal Carbon Tax
Starting next month, federal tax inspectors will monitor personal exhalation volume through smart home sensors and wearable air meters to charge citizens a mandatory twenty-dollar per day carbon respiration fee. Bureaucrats claimed human breathing is the primary driver of catastrophic planetary warming and must be severely rationed through punitive financial penalties.",f7885d663c48d23a536cc3747bf8e383ab7f66d3031c08c8eb2fe7fa37857264
ftc_consumer,real-034,0,The Federal Trade Commission adopted an administrative trade regulation rule establishing civil penalty authority against deceptive practices utilizing synthetic voice clones or commercial AI generators to defraud consumers or impersonate financial institutions.,Trade Commission Publishes Policy Statement on Consumer Impersonation Fraud,"Trade Commission Publishes Policy Statement on Consumer Impersonation Fraud
The Federal Trade Commission adopted an administrative trade regulation rule establishing civil penalty authority against deceptive practices utilizing synthetic voice clones or commercial AI generators to defraud consumers or impersonate financial institutions.",5a8c506fab7293c3813302d7c620aeead95d12cc6c18abbe8bc900ce3126980f
giza_alien_hoax,fake-032,1,Georadar survey technicians exploring unmapped chambers beneath the Great Pyramid of Giza detected an intact metallic disc measuring ninety meters across composed of unknown transuranic alloys that emit perpetual high-frequency electromagnetic harmonic vibrations.,Extraterrestrial Scout Ship Found Encased Inside Subterranean Giza Pyramid Foundation,"Extraterrestrial Scout Ship Found Encased Inside Subterranean Giza Pyramid Foundation
Georadar survey technicians exploring unmapped chambers beneath the Great Pyramid of Giza detected an intact metallic disc measuring ninety meters across composed of unknown transuranic alloys that emit perpetual high-frequency electromagnetic harmonic vibrations.",d97823e5281616fdf56ee86b323bf0845aa34c84d7bfa42098432b81a0f4fbc3
cisa_alert,real-017,0,The Cybersecurity and Infrastructure Security Agency released an emergency directive instructing federal civil executive agencies to patch an actively exploited vulnerability affecting enterprise virtual private network gateways. System administrators are urged to apply vendor security updates immediately.,Cybersecurity Agency Issues Advisory on Critical Software Vulnerability,"Cybersecurity Agency Issues Advisory on Critical Software Vulnerability
The Cybersecurity and Infrastructure Security Agency released an emergency directive instructing federal civil executive agencies to patch an actively exploited vulnerability affecting enterprise virtual private network gateways. System administrators are urged to apply vendor security updates immediately.",6bf707dbfdfe480ceaa691a53d300961cfdc91525a230848c84503027bc30cb7
legal_gazette,real-010,0,"The Supreme Court heard oral arguments regarding the statutory authority of the Environmental Protection Agency to enforce interstate air pollution standards under the Clean Air Act. Counsel for petitioner states argued that the regulatory agency failed to adequately explain its denial of state implementation plans, while government attorneys defended the technical modeling underpinning the federal rule.",Supreme Court Hears Oral Arguments on Environmental Protection Agency Authority,"Supreme Court Hears Oral Arguments on Environmental Protection Agency Authority
The Supreme Court heard oral arguments regarding the statutory authority of the Environmental Protection Agency to enforce interstate air pollution standards under the Clean Air Act. Counsel for petitioner states argued that the regulatory agency failed to adequately explain its denial of state implementation plans, while government attorneys defended the technical modeling underpinning the federal rule.",4df5c6409f2d858dedc783476c2228a7bb430ee612c7237c9b99abce14f42cdd
ecb_monetary,real-037,0,"The Governing Council of the European Central Bank held its deposit facility rate unchanged at 3.75 percent, stating that underlying core price pressures across the euro area services sector necessitate an evidence-based, data-dependent monetary posture.",European Central Bank Retains Key Benchmark Financing Rates,"European Central Bank Retains Key Benchmark Financing Rates
The Governing Council of the European Central Bank held its deposit facility rate unchanged at 3.75 percent, stating that underlying core price pressures across the euro area services sector necessitate an evidence-based, data-dependent monetary posture.",742d7228c560d4e16fa95f983dce887224219cac08287bf98e2ef15973d25aff
salt_isotope_hoax,fake-035,1,Independent toxicologists analyzing grocery store sea salt detected elevated levels of synthetic strontium isotopes intentionally blended into consumer seasonings to enable satellite radiometric tracking of individual biological metabolic signatures.,Federal Regulators Secretly Lace Table Salt with Radioactive Isotope Markers,"Federal Regulators Secretly Lace Table Salt with Radioactive Isotope Markers
Independent toxicologists analyzing grocery store sea salt detected elevated levels of synthetic strontium isotopes intentionally blended into consumer seasonings to enable satellite radiometric tracking of individual biological metabolic signatures.",c1da0b039affb1282bce65d9ca6bba44e8f8182a5bc8775c362954c9f6ab198c
us_treasury,real-012,0,The Department of the Treasury and the Internal Revenue Service released final regulations clarifying eligibility requirements for the Section 30D clean vehicle credit under the Inflation Reduction Act. The guidance specifies standards for critical mineral extraction and battery component assembly applicable to consumer purchases.,Treasury Department Publishes Guidance on Clean Vehicle Tax Credits,"Treasury Department Publishes Guidance on Clean Vehicle Tax Credits
The Department of the Treasury and the Internal Revenue Service released final regulations clarifying eligibility requirements for the Section 30D clean vehicle credit under the Inflation Reduction Act. The guidance specifies standards for critical mineral extraction and battery component assembly applicable to consumer purchases.",4d33d47f72f36c3df0859a955060dddabbffdd15ba84bad9d909e432ed8eca93
audio_hoax,fake-016,1,"An independent acoustic engineer who analyzed FM radio broadcasts discovered backwards masked hypnotic voice commands embedded beneath popular music tracks. The subliminal audio tracks command listeners to surrender their constitutional rights, obey local police without question, and purchase corporate junk food products.",Subliminal Hypnosis Audio Hidden in All Commercial Radio Broadcasts,"Subliminal Hypnosis Audio Hidden in All Commercial Radio Broadcasts
An independent acoustic engineer who analyzed FM radio broadcasts discovered backwards masked hypnotic voice commands embedded beneath popular music tracks. The subliminal audio tracks command listeners to surrender their constitutional rights, obey local police without question, and purchase corporate junk food products.",5f8898994dc6fe5f1619d22618420d4eeb745e97d1fb361cac3eddf469fcea55
gadget_hoax,fake-013,1,A confidential engineering memo stolen from a major Silicon Valley smartphone manufacturer reveals that modern smartphone screens intentionally emit invisible psychoacoustic frequency pulses designed to destroy REM sleep patterns. The goal is to keep consumer brains perpetually exhausted so they become addicted to late-night shopping apps.,Leaked Internal Memo: Smartphones Intentionally Emit Sleep-Preventing Waves,"Leaked Internal Memo: Smartphones Intentionally Emit Sleep-Preventing Waves
A confidential engineering memo stolen from a major Silicon Valley smartphone manufacturer reveals that modern smartphone screens intentionally emit invisible psychoacoustic frequency pulses designed to destroy REM sleep patterns. The goal is to keep consumer brains perpetually exhausted so they become addicted to late-night shopping apps.",c1fd8146dd06ce0ac1b0a883565e25d13e0a477cc080bfde60d4e2b2bb1ce9cd
usgs_monitor,real-007,0,"A moderate earthquake of magnitude 5.4 occurred at a depth of ten kilometers off the coast of the Kermadec Islands early Tuesday morning, according to data recorded by the United States Geological Survey. Authorities reported no immediate damage or injuries, and the Pacific Tsunami Warning Center confirmed that no tsunami threat was generated by the seismic event.",Geological Survey Records Magnitude 5.4 Earthquake in Southern Pacific,"Geological Survey Records Magnitude 5.4 Earthquake in Southern Pacific
A moderate earthquake of magnitude 5.4 occurred at a depth of ten kilometers off the coast of the Kermadec Islands early Tuesday morning, according to data recorded by the United States Geological Survey. Authorities reported no immediate damage or injuries, and the Pacific Tsunami Warning Center confirmed that no tsunami threat was generated by the seismic event.",2a38e89a02529f520a5d6e747d8a4922875f841fc9d8880354f61d04f686dfed
us_dot,real-005,0,"The United States Department of Transportation announced over one billion dollars in federal grant awards dedicated to improving rail safety, upgrading hazardous highway-rail grade crossings, and modernizing track inspection equipment across thirty-two states. The funds will be administered through the Federal Railroad Administration's Consolidated Rail Infrastructure and Safety Improvements program.",Department of Transportation Announces Rail Safety Infrastructure Grants,"Department of Transportation Announces Rail Safety Infrastructure Grants
The United States Department of Transportation announced over one billion dollars in federal grant awards dedicated to improving rail safety, upgrading hazardous highway-rail grade crossings, and modernizing track inspection equipment across thirty-two states. The funds will be administered through the Federal Railroad Administration's Consolidated Rail Infrastructure and Safety Improvements program.",bd9d49f6337d724c79636719d57ae76092edac88dd5eec23df4bde292c41d4d7
weather_hoax,fake-011,1,Radar anomalies captured by amateur meteorologists reveal an armada of stealth military drones spraying ionized silver iodide and barium salts directly into Atlantic weather fronts. The classified weather warfare program reportedly directs category five storms toward coastal regions to destabilize property values and force relocations into smart camps.,Secret Army of Weather Manipulation Drones Creates Artificial Hurricanes,"Secret Army of Weather Manipulation Drones Creates Artificial Hurricanes
Radar anomalies captured by amateur meteorologists reveal an armada of stealth military drones spraying ionized silver iodide and barium salts directly into Atlantic weather fronts. The classified weather warfare program reportedly directs category five storms toward coastal regions to destabilize property values and force relocations into smart camps.",3675c9598c426e2fe51b355ce3d7a3f7354171386c4e190d1b02d50f56952f2b
usgs_volcano,real-031,0,"Volcanologists monitoring Hawaii Volcanoes National Park recorded a complete cessation of active lava effusion within the summit caldera of Kilauea volcano. Tiltmeter instruments show stable ground deformation rates, and volcanic gas emissions have dropped to baseline quiescent thresholds.",Geological Survey Observes Activity Pause at Kilauea Volcano Summit,"Geological Survey Observes Activity Pause at Kilauea Volcano Summit
Volcanologists monitoring Hawaii Volcanoes National Park recorded a complete cessation of active lava effusion within the summit caldera of Kilauea volcano. Tiltmeter instruments show stable ground deformation rates, and volcanic gas emissions have dropped to baseline quiescent thresholds.",f50fd107f6046e145f755bc9c7dc1a938931154745d8edfe96aa6dc6dc644b6e
census_gov,real-016,0,"Real median household income rose by 4.0 percent between 2022 and 2023, according to official figures released by the U.S. Census Bureau. The official poverty rate was 11.1 percent, not statistically different from the prior year, while the Supplemental Poverty Measure recorded a slight decrease reflecting post-pandemic tax policy adjustments.",Census Bureau Releases Annual Household Income and Poverty Statistics,"Census Bureau Releases Annual Household Income and Poverty Statistics
Real median household income rose by 4.0 percent between 2022 and 2023, according to official figures released by the U.S. Census Bureau. The official poverty rate was 11.1 percent, not statistically different from the prior year, while the Supplemental Poverty Measure recorded a slight decrease reflecting post-pandemic tax policy adjustments.",595598a807c0c0153df6eb88a01f05c0738f75def9ca65a5a04ba2e355020037
health_rumor,fake-019,1,Viral social media posts shared by holistic practitioners claim that consuming hot garlic and onion tea three times daily coats the respiratory tract with an impenetrable natural shield that renders all viral and bacterial infections completely harmless. Hospitals are reportedly baffled as millions cancel clinical appointments.,Drinking Boiled Garlic Tea Gives 100% Immunity to All Airborne Pathogens,"Drinking Boiled Garlic Tea Gives 100% Immunity to All Airborne Pathogens
Viral social media posts shared by holistic practitioners claim that consuming hot garlic and onion tea three times daily coats the respiratory tract with an impenetrable natural shield that renders all viral and bacterial infections completely harmless. Hospitals are reportedly baffled as millions cancel clinical appointments.",4efcbaf3ec3a8ee8a520349d1d2e20fad3505b9217dcdcbaeb64362ae75e164a
marine_biology,real-018,0,Marine biologists conducting research along the Great Barrier Reef recorded synchronized mass coral spawning across multiple reef tracts. The annual reproductive event occurs following full moon cycles when water temperatures provide optimal conditions for gamete release and larval dispersion.,Oceanographic Institute Documents Coral Reef Spawning Event,"Oceanographic Institute Documents Coral Reef Spawning Event
Marine biologists conducting research along the Great Barrier Reef recorded synchronized mass coral spawning across multiple reef tracts. The annual reproductive event occurs following full moon cycles when water temperatures provide optimal conditions for gamete release and larval dispersion.",02adbabfde0553bf26e286926601c3770cc74151c3edb81d73db890bd837e1b8
reuters_archive,real-001,0,"The Federal Reserve announced today that it will maintain the federal funds rate at its current target range following a two-day meeting of the Federal Open Market Committee. Central bank officials stated that while economic activity has continued to expand at a solid pace, inflation indicators remain above the committee's two percent longer-run objective. Policy makers emphasized that future adjustments will depend on incoming labor market data, consumer price index readings, and broader economic forecasts.",Federal Reserve Holds Interest Rates Steady at Policy Meeting,"Federal Reserve Holds Interest Rates Steady at Policy Meeting
The Federal Reserve announced today that it will maintain the federal funds rate at its current target range following a two-day meeting of the Federal Open Market Committee. Central bank officials stated that while economic activity has continued to expand at a solid pace, inflation indicators remain above the committee's two percent longer-run objective. Policy makers emphasized that future adjustments will depend on incoming labor market data, consumer price index readings, and broader economic forecasts.",e02f34be9fb308ac68ed015757488e97acc32f439ebe3dd45150ecf57de8da7b
nist_gov,real-026,0,The National Institute of Standards and Technology published official federal information processing standards specifying quantum-resistant public-key encryption and digital signature algorithms. Enterprise system architects are advised to commence cryptographic migration strategies to protect sensitive communications.,National Standards Institute Releases First Post-Quantum Cryptography Algorithms,"National Standards Institute Releases First Post-Quantum Cryptography Algorithms
The National Institute of Standards and Technology published official federal information processing standards specifying quantum-resistant public-key encryption and digital signature algorithms. Enterprise system architects are advised to commence cryptographic migration strategies to protect sensitive communications.",f6f50dd2ac21920bcafd03d8ea4aa6d4216d0993b4ea950b06bfff84c955ddab
peroxide_cure_hoax,fake-027,1,An underground holistic medical society claims that drinking concentrated hydrogen peroxide diluted with distilled water super-oxygenates pancreatic tissue to permanently eradicate type two diabetes overnight. Medical licensing boards have systematically banned doctors who prescribe the miraculous treatment.,Swallowing Food-Grade Hydrogen Peroxide Reverses Diabetes in Forty-Eight Hours,"Swallowing Food-Grade Hydrogen Peroxide Reverses Diabetes in Forty-Eight Hours
An underground holistic medical society claims that drinking concentrated hydrogen peroxide diluted with distilled water super-oxygenates pancreatic tissue to permanently eradicate type two diabetes overnight. Medical licensing boards have systematically banned doctors who prescribe the miraculous treatment.",4d532506e00067dadf499015d2ba6747eb2aba2020324f1a96133f5c69c0f9f5
antibiotic_ban_hoax,fake-034,1,"Internal corporate memoranda leaked from multinational drug conglomerates confirm executive plans to halt distribution of all generic penicillin and amoxicillin derivatives by next quarter, forcing consumers to purchase patented thousand-dollar synthetic biological injections.",Confidential Pharmaceutical Memo Orders Complete Ban on Prescription Antibiotics,"Confidential Pharmaceutical Memo Orders Complete Ban on Prescription Antibiotics
Internal corporate memoranda leaked from multinational drug conglomerates confirm executive plans to halt distribution of all generic penicillin and amoxicillin derivatives by next quarter, forcing consumers to purchase patented thousand-dollar synthetic biological injections.",0eb21593e46458bacce74ced38888e1ed40007b1e0ccf650ea82b0910448793e
apocalypse_scam,fake-012,1,"A rogue astrophysicist has published leaked calculations proving Earth's geomagnetic poles will flip completely next Thursday, causing gravitational acceleration to reverse for forty-eight hours. Citizens are being urged to anchor all heavy furniture to ceilings and stockpile magnetic boots before surface objects float into outer space.",Scientists Discover Earth's Magnetic Pole Flip Will Invert Gravity Next Week,"Scientists Discover Earth's Magnetic Pole Flip Will Invert Gravity Next Week
A rogue astrophysicist has published leaked calculations proving Earth's geomagnetic poles will flip completely next Thursday, causing gravitational acceleration to reverse for forty-eight hours. Citizens are being urged to anchor all heavy furniture to ceilings and stockpile magnetic boots before surface objects float into outer space.",92c8fe5295e72b8266000052dd448cb5a3d31fe2261ef785e49483117bcefc9e
fake_health_news,fake-003,1,"Big Pharma executives are panicking after independent researchers leaked the formula for a miracle Himalayan dandelion extract that completely destroys 100 percent of cancer cells overnight without chemotherapy. The miraculous natural remedy, which costs less than ten cents to brew at home, has been ruthlessly suppressed by corporate medical cartels who make trillions from treating chronic illness.",Miracle Kitchen Herb Instantly Cures All Types of Cancer in 24 Hours,"Miracle Kitchen Herb Instantly Cures All Types of Cancer in 24 Hours
Big Pharma executives are panicking after independent researchers leaked the formula for a miracle Himalayan dandelion extract that completely destroys 100 percent of cancer cells overnight without chemotherapy. The miraculous natural remedy, which costs less than ten cents to brew at home, has been ruthlessly suppressed by corporate medical cartels who make trillions from treating chronic illness.",9f66280fd06ff2c7f070198323fe51eb8fdccfda1c04a5518849f7e9a980a8a2
insect_drone_hoax,fake-036,1,Residents in multiple states reported encounters with mechanical robotic mosquitoes outfitted with microscopic titanium needles and microfluidic memory vials engineered to collect blood droplets from sleeping civilians for classified genomic profiling.,Genetically Modified Surveillance Insects Released to Collect Mandatory DNA Samples,"Genetically Modified Surveillance Insects Released to Collect Mandatory DNA Samples
Residents in multiple states reported encounters with mechanical robotic mosquitoes outfitted with microscopic titanium needles and microfluidic memory vials engineered to collect blood droplets from sleeping civilians for classified genomic profiling.",1e5b312053492901931b4a367733198d2a7a839fe4b6c15435de47eae711902d
wmo_bulletin,real-040,0,"Atmospheric monitoring stations recorded unprecedented globally averaged surface concentrations of carbon dioxide and methane, according to the annual Greenhouse Gas Bulletin compiled by the World Meteorological Organization's Global Atmosphere Watch network.",World Meteorological Organization Releases Greenhouse Gas Inventory,"World Meteorological Organization Releases Greenhouse Gas Inventory
Atmospheric monitoring stations recorded unprecedented globally averaged surface concentrations of carbon dioxide and methane, according to the annual Greenhouse Gas Bulletin compiled by the World Meteorological Organization's Global Atmosphere Watch network.",054aa5189476c454dd5c5ecf9d06d0d95c0fbc8d762e46d740f075d064d65a6a
noaa_ocean,real-038,0,Hydrographic surveyors operating multibeam sonar arrays aboard the NOAA ship Okeanos Explorer completed high-resolution bathymetric mapping of an uncharted two-mile-deep submarine canyon along the Atlantic continental shelf margin.,Oceanic Administration Maps Unexplored Deep-Sea Submarine Canyon,"Oceanic Administration Maps Unexplored Deep-Sea Submarine Canyon
Hydrographic surveyors operating multibeam sonar arrays aboard the NOAA ship Okeanos Explorer completed high-resolution bathymetric mapping of an uncharted two-mile-deep submarine canyon along the Atlantic continental shelf margin.",c43d84244ab5a291a482a746e1229bc98bcfb6f519f65fb6a665850c049d157f
air_patent_hoax,fake-031,1,Financial filings in offshore tax shelters reveal a private equity syndicate purchased exclusive patents covering atmospheric nitrogen separation. The conglomerate intends to install intake scrubbers across national parks and bill regional air districts for each cubic meter of air inhaled by taxpayers.,Hedge Fund Consortium Acquires Commercial Atmospheric Nitrogen Extraction Rights,"Hedge Fund Consortium Acquires Commercial Atmospheric Nitrogen Extraction Rights
Financial filings in offshore tax shelters reveal a private equity syndicate purchased exclusive patents covering atmospheric nitrogen separation. The conglomerate intends to install intake scrubbers across national parks and bill regional air districts for each cubic meter of air inhaled by taxpayers.",922b2e66ad272b094acdc8eefcf2ec1b0d509a9255dab0d61175fa70994e1c1c
nsf_wire,real-020,0,The National Science Foundation announced forty-five million dollars in awards to establish three regional quantum user facilities. The testbeds will provide academic and industrial researchers open access to neutral-atom and trapped-ion quantum processing units to advance quantum error mitigation and algorithm design.,National Science Foundation Awards Funding for Quantum Computing Testbeds,"National Science Foundation Awards Funding for Quantum Computing Testbeds
The National Science Foundation announced forty-five million dollars in awards to establish three regional quantum user facilities. The testbeds will provide academic and industrial researchers open access to neutral-atom and trapped-ion quantum processing units to advance quantum error mitigation and algorithm design.",d63fca422903e53340a8077f9a2be7797f9fd1670c090418f98e6426f176e4e2
religious_hoax,fake-007,1,Vatican insiders are reeling after a leaked pontifical bull confirmed the Holy See will officially abolish the biblical Ten Commandments in favor of an ecumenical global charter dictated by the World Economic Forum. Cardinal sources who spoke under oath claim the Pope plans to introduce a unified one-world religion during an upcoming secret summit in Switzerland.,Pope Issues Secret Decree Abolishing the Ten Commandments in World Religion Plan,"Pope Issues Secret Decree Abolishing the Ten Commandments in World Religion Plan
Vatican insiders are reeling after a leaked pontifical bull confirmed the Holy See will officially abolish the biblical Ten Commandments in favor of an ecumenical global charter dictated by the World Economic Forum. Cardinal sources who spoke under oath claim the Pope plans to introduce a unified one-world religion during an upcoming secret summit in Switzerland.",f061de9b25be3515aa8299002b5dbd1812b0c976379bab330875f86760d568a1
ancient_prophecy_hoax,fake-023,1,Archaeologists deciphering clay tablets excavated near Babylon confirmed that ancient Sumerian astrologers recorded exact mathematical dates for a cataclysmic cosmic solar flare scheduled to vaporize modern electrical transformers and permanent satellites at midnight this coming Friday.,Ancient Mesopotamian Cuneiform Tablet Foretells Total Electrical Grid Blackout,"Ancient Mesopotamian Cuneiform Tablet Foretells Total Electrical Grid Blackout
Archaeologists deciphering clay tablets excavated near Babylon confirmed that ancient Sumerian astrologers recorded exact mathematical dates for a cataclysmic cosmic solar flare scheduled to vaporize modern electrical transformers and permanent satellites at midnight this coming Friday.",21f8650b673dae8651a6f10eb36ecd31a88bc3c209bb1c6a7f5d5e3c0f97dbd6
